基金全称,宝盈策略增长混合型证券投资基金,基金简称,宝盈策略增长混合
基金代码,213003（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2006年12月26日,成立日期/规模,2007年01月19日 / 95.683亿份
资产规模,11.39亿元（截止至：2025年06月30日）份额规模10.672亿份（截止至：2025年06月30日）,份额规模,10.672亿份（截止至：2025年06月30日）
基金管理人,宝盈基金,基金托管人,农业银行
基金经理人,容志能,成立来分红,每份累计1.30元（7次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,---（每年）,最高认购费率,1.20%（前端）
业绩比较基准,上证A股指数×75%+上证国债指数×20%+同期银行一年定期存款利率×5%,跟踪标的,该基金无跟踪标的
