基金全称,东方阿尔法优选混合型发起式证券投资基金,基金简称,东方阿尔法优选混合A
基金代码,007518（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2019年08月19日,成立日期/规模,2019年09月12日 / 4.204亿份
资产规模,1.28亿元（截止至：2025年09月30日）份额规模1.0374亿份（截止至：2025年09月30日）,份额规模,1.0374亿份（截止至：2025年09月30日）
基金管理人,东方阿尔法基金,基金托管人,招商银行
基金经理人,周谧,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）
业绩比较基准,中证800指数收益率×80%+中证综合债券指数收益率×10%+恒生指数收益率×10%,跟踪标的,该基金无跟踪标的
