基金全称,华安易富黄金交易型开放式证券投资基金联接基金,基金简称,华安黄金易ETF联接C
基金代码,000217（前端）基金类型指数型-其他,基金类型,指数型-其他
发行日期,2013年07月24日,成立日期/规模,2013年08月22日 / 4.109亿份
资产规模,197.03亿元（截止至：2025年06月30日）份额规模75.7092亿份（截止至：2025年06月30日）,份额规模,75.7092亿份（截止至：2025年06月30日）
基金管理人,华安基金,基金托管人,建设银行
基金经理人,许之彦,成立来分红,每份累计0.00元（0次）
管理费率,0.50%（每年）,托管费率,0.10%（每年）
销售服务费率,0.35%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,国内黄金现货价格收益率*95%+人民币活期存款税后利率*5%,跟踪标的,黄金9999
