基金全称,华安大国新经济股票型证券投资基金,基金简称,华安大国新经济股票C
基金代码,016291（前端）基金类型股票型,基金类型,股票型
发行日期,2014年03月13日,成立日期/规模,2022年08月11日 / --
资产规模,0.00亿元（截止至：2025年06月30日）份额规模0.0015亿份（截止至：2025年06月30日）,份额规模,0.0015亿份（截止至：2025年06月30日）
基金管理人,华安基金,基金托管人,建设银行
基金经理人,翁启森,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.60%（每年）,最高认购费率,---（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证800指数收益率*90%+中国债券总指数收益率*10%,跟踪标的,该基金无跟踪标的
