基金全称,银河创新成长混合型证券投资基金,基金简称,银河创新成长混合A
基金代码,519674（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2010年11月29日,成立日期/规模,2010年12月29日 / 12.521亿份
资产规模,138.75亿元（截止至：2025年09月30日）份额规模14.022亿份（截止至：2025年09月30日）,份额规模,14.022亿份（截止至：2025年09月30日）
基金管理人,银河基金,基金托管人,招商银行
基金经理人,郑巍山,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）
业绩比较基准,中证500指数收益率*75%+上证国债指数收益率*25%,跟踪标的,该基金无跟踪标的
