基金全称,兴银策略智选混合型证券投资基金,基金简称,兴银策略智选混合C
基金代码,010428（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2020年10月23日,成立日期/规模,2020年11月10日 / 2.391亿份
资产规模,0.27亿元（截止至：2025年06月30日）份额规模0.2774亿份（截止至：2025年06月30日）,份额规模,0.2774亿份（截止至：2025年06月30日）
基金管理人,兴银基金管理,基金托管人,国泰海通
基金经理人,张世略,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.50%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,沪深300指数收益率×80%+中债综合指数收益率×20%,跟踪标的,该基金无跟踪标的
