基金全称,光大保德信风格轮动混合型证券投资基金,基金简称,光大风格轮动混合C
基金代码,007499（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2016年01月07日,成立日期/规模,2020年01月02日 / --
资产规模,0.01亿元（截止至：2025年06月30日）份额规模0.0082亿份（截止至：2025年06月30日）,份额规模,0.0082亿份（截止至：2025年06月30日）
基金管理人,光大保德信基金,基金托管人,建设银行
基金经理人,朱剑涛,成立来分红,每份累计0.06元（1次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.40%（每年）,最高认购费率,---（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,90%×中证500指数收益率+10%×银行活期存款利率(税后),跟踪标的,该基金无跟踪标的
