基金全称,博时特许价值混合型证券投资基金,基金简称,博时特许价值混合A
基金代码,050010（前端）、051010（后端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2008年04月22日,成立日期/规模,2008年05月28日 / 4.773亿份
资产规模,4.65亿元（截止至：2025年06月30日）份额规模1.4167亿份（截止至：2025年06月30日）,份额规模,1.4167亿份（截止至：2025年06月30日）
基金管理人,博时基金,基金托管人,建设银行
基金经理人,曾鹏,成立来分红,每份累计0.44元（3次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,---（每年）,最高认购费率,1.20%（前端）
业绩比较基准,80%×沪深300指数收益率+20%×中国债券总指数收益率,跟踪标的,该基金无跟踪标的
