基金全称,摩根行业睿选股票型证券投资基金,基金简称,摩根行业睿选股票A
基金代码,011236（前端）基金类型股票型,基金类型,股票型
发行日期,2021年02月22日,成立日期/规模,2021年02月26日 / 69.402亿份
资产规模,12.07亿元（截止至：2025年06月30日）份额规模16.6697亿份（截止至：2025年06月30日）,份额规模,16.6697亿份（截止至：2025年06月30日）
基金管理人,摩根基金(中国),基金托管人,交通银行
基金经理人,李博,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）
业绩比较基准,中证800指数收益率*65%+中证港股通指数收益率*20%+上证国债指数收益率*15%,跟踪标的,该基金无跟踪标的
