基金全称,银华集成电路混合型证券投资基金,基金简称,银华集成电路混合A
基金代码,013840（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2021年11月15日,成立日期/规模,2021年12月08日 / 9.146亿份
资产规模,20.77亿元（截止至：2025年06月30日）份额规模20.1392亿份（截止至：2025年06月30日）,份额规模,20.1392亿份（截止至：2025年06月30日）
基金管理人,银华基金,基金托管人,建设银行
基金经理人,方建,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）
业绩比较基准,中证全指半导体产品与设备指数收益率*60%+中证港股通综合指数(人民币)收益率*20%+中债综合指数(全价)收益率*20%,跟踪标的,该基金无跟踪标的
