基金全称,中信建投中证500指数增强型证券投资基金,基金简称,中信建投中证500增强C
基金代码,006441（前端）基金类型指数型-股票,基金类型,指数型-股票
发行日期,2020年04月20日,成立日期/规模,2020年05月09日 / 2.724亿份
资产规模,1.55亿元（截止至：2025年06月30日）份额规模1.0432亿份（截止至：2025年06月30日）,份额规模,1.0432亿份（截止至：2025年06月30日）
基金管理人,中信建投基金,基金托管人,中信证券
基金经理人,王鹏,成立来分红,每份累计0.00元（0次）
管理费率,0.75%（每年）,托管费率,0.10%（每年）
销售服务费率,0.30%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证500指数收益率×95%+银行活期存款税后利率×5%,跟踪标的,中证500指数
