基金全称,红土创新转型精选灵活配置混合型证券投资基金(LOF),基金简称,红土转型精选混合(LOF)
基金代码,168401（主代码）基金类型混合型-灵活,基金类型,混合型-灵活
发行日期,2016年11月25日,成立日期/规模,2016年12月30日 / 2.105亿份
资产规模,0.53亿元（截止至：2025年06月30日）份额规模0.2375亿份（截止至：2025年06月30日）,份额规模,0.2375亿份（截止至：2025年06月30日）
基金管理人,红土创新基金,基金托管人,工商银行
基金经理人,盖俊龙,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,---（每年）,最高认购费率,1.20%（前端）天天基金优惠费率：0.12%（前端）
业绩比较基准,沪深300指数收益率*60% +中证全债指数收益率*40%,跟踪标的,该基金无跟踪标的
