基金全称,易方达新经济灵活配置混合型证券投资基金,基金简称,易方达新经济混合
基金代码,001018（前端）基金类型混合型-灵活,基金类型,混合型-灵活
发行日期,2015年01月26日,成立日期/规模,2015年02月12日 / 11.060亿份
资产规模,33.55亿元（截止至：2025年06月30日）份额规模9.6425亿份（截止至：2025年06月30日）,份额规模,9.6425亿份（截止至：2025年06月30日）
基金管理人,易方达基金,基金托管人,工商银行
基金经理人,陈皓,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,---（每年）,最高认购费率,1.20%（前端）
业绩比较基准,中证800指数收益率×65%+一年期人民币定期存款利率(税后)×35%,跟踪标的,该基金无跟踪标的
