基金全称,东吴新能源汽车股票型证券投资基金,基金简称,东吴新能源汽车股票C
基金代码,014377（前端）基金类型股票型,基金类型,股票型
发行日期,2022年01月04日,成立日期/规模,2022年01月25日 / 4.707亿份
资产规模,3.08亿元（截止至：2025年06月30日）份额规模2.3319亿份（截止至：2025年06月30日）,份额规模,2.3319亿份（截止至：2025年06月30日）
基金管理人,东吴基金,基金托管人,交通银行
基金经理人,刘元海,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.40%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证新能源汽车指数收益率*80%+恒生指数收益率*10%+中债综合指数(全价)收益率*10%,跟踪标的,该基金无跟踪标的
