基金全称,南方智锐混合型证券投资基金,基金简称,南方智锐混合C
基金代码,007734（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2019年08月21日,成立日期/规模,2019年09月18日 / 59.151亿份
资产规模,2.27亿元（截止至：2025年06月30日）份额规模1.9123亿份（截止至：2025年06月30日）,份额规模,1.9123亿份（截止至：2025年06月30日）
基金管理人,南方基金,基金托管人,农业银行
基金经理人,范佳瓅,成立来分红,每份累计0.07元（1次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.60%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,沪深300指数收益率×50%+中证港股通综合指数(人民币)收益率×20%+上证国债指数收益率×30%,跟踪标的,该基金无跟踪标的
