基金全称,天弘上海金交易型开放式证券投资基金发起式联接基金,基金简称,天弘上海金ETF发起联接C
基金代码,014662（前端）基金类型指数型-其他,基金类型,指数型-其他
发行日期,2022年01月04日,成立日期/规模,2022年03月02日 / 0.126亿份
资产规模,13.37亿元（截止至：2025年06月30日）份额规模7.8178亿份（截止至：2025年06月30日）,份额规模,7.8178亿份（截止至：2025年06月30日）
基金管理人,天弘基金,基金托管人,国泰海通
基金经理人,沙川,成立来分红,每份累计0.00元（0次）
管理费率,0.25%（每年）,托管费率,0.05%（每年）
销售服务费率,0.35%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,上海黄金交易所上海金集中定价合约(合约代码:SHAU)的午盘基准价格收益率*95%+黄金现货延期交收合约(合约代码:AU(T+D))的结算价收益率*5%,跟踪标的,上海金
