基金全称,光大保德信创业板量化优选股票型证券投资基金,基金简称,光大创业板量化优选C
基金代码,003070（前端）基金类型股票型,基金类型,股票型
发行日期,2017年12月22日,成立日期/规模,2020年01月02日 / --
资产规模,1.44亿元（截止至：2025年06月30日）份额规模1.1645亿份（截止至：2025年06月30日）,份额规模,1.1645亿份（截止至：2025年06月30日）
基金管理人,光大保德信基金,基金托管人,建设银行
基金经理人,王卫林,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.40%（每年）,最高认购费率,---（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,90%×创业板综合指数收益率+10%×银行活期存款利率(税后),跟踪标的,该基金无跟踪标的
