基金全称,工银瑞信恒兴6个月持有期混合型证券投资基金,基金简称,工银瑞信恒兴6个月持有混合C
基金代码,012845（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2021年08月02日,成立日期/规模,2021年08月17日 / 16.323亿份
资产规模,1.10亿元（截止至：2025年06月30日）份额规模1.4923亿份（截止至：2025年06月30日）,份额规模,1.4923亿份（截止至：2025年06月30日）
基金管理人,工银瑞信基金,基金托管人,兴业银行
基金经理人,鄢耀,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.60%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,0.00%（前端）
业绩比较基准,沪深300指数收益率*75%+恒生指数收益率(经汇率调整)*5%+中债综合财富(总值)指数收益率*20%,跟踪标的,该基金无跟踪标的
