基金全称,博道盛彦混合型证券投资基金,基金简称,博道盛彦混合C
基金代码,012125（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2021年05月18日,成立日期/规模,2021年06月01日 / 5.938亿份
资产规模,5.06亿元（截止至：2025年06月30日）份额规模4.9023亿份（截止至：2025年06月30日）,份额规模,4.9023亿份（截止至：2025年06月30日）
基金管理人,博道基金,基金托管人,邮储银行
基金经理人,张建胜,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.10%（每年）
销售服务费率,0.50%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证800指数收益率*60%+中证港股通综合指数(人民币)收益率*15%+中债综合全价(总值)指数收益率*25%,跟踪标的,该基金无跟踪标的
