基金全称,国金核心资产一年持有期混合型证券投资基金,基金简称,国金核心资产一年持有A
基金代码,012198（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2021年08月16日,成立日期/规模,2021年09月13日 / 2.612亿份
资产规模,0.53亿元（截止至：2025年06月30日）份额规模0.6251亿份（截止至：2025年06月30日）,份额规模,0.6251亿份（截止至：2025年06月30日）
基金管理人,国金基金,基金托管人,浙商银行
基金经理人,张望,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）天天基金优惠费率：0.12%（前端）
业绩比较基准,沪深300指数收益率*60%+中证港股通综合指数(人民币)收益率*20%+中证全债指数收益率*20%,跟踪标的,该基金无跟踪标的
