基金全称,中信保诚中证800有色指数型证券投资基金(LOF),基金简称,中信保诚中证800有色指数(LOF)C
基金代码,013081（前端）基金类型指数型-股票,基金类型,指数型-股票
发行日期,2013年08月05日,成立日期/规模,2021年08月26日 / --
资产规模,1.11亿元（截止至：2025年06月30日）份额规模0.6544亿份（截止至：2025年06月30日）,份额规模,0.6544亿份（截止至：2025年06月30日）
基金管理人,中信保诚基金,基金托管人,中国银行
基金经理人,黄稚,成立来分红,每份累计0.00元（0次）
管理费率,1.00%（每年）,托管费率,0.20%（每年）
销售服务费率,0.40%（每年）,最高认购费率,---（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证800有色金属指数收益率*95%+金融同业存款利率*5%,跟踪标的,中证800有色
