基金全称,东吴嘉禾优势精选混合型开放式证券投资基金,基金简称,东吴嘉禾优势精选混合A
基金代码,580001（前端）基金类型混合型-灵活,基金类型,混合型-灵活
发行日期,2004年12月20日,成立日期/规模,2005年02月01日 / 10.295亿份
资产规模,4.57亿元（截止至：2025年06月30日）份额规模4.3663亿份（截止至：2025年06月30日）,份额规模,4.3663亿份（截止至：2025年06月30日）
基金管理人,东吴基金,基金托管人,工商银行
基金经理人,刘元海,成立来分红,每份累计1.92元（8次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）
业绩比较基准,(上证180指数*60%+深证100指数*40%)*65%+中证全债指数*35%,跟踪标的,该基金无跟踪标的
