基金全称,红塔红土盛丰混合型证券投资基金,基金简称,红塔红土盛丰混合A
基金代码,013733（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2021年09月22日,成立日期/规模,2021年12月24日 / 2.012亿份
资产规模,0.64亿元（截止至：2025年06月30日）份额规模0.472亿份（截止至：2025年06月30日）,份额规模,0.472亿份（截止至：2025年06月30日）
基金管理人,红塔红土,基金托管人,宁波银行
基金经理人,赵耀,成立来分红,每份累计0.35元（1次）
管理费率,1.20%（每年）,托管费率,0.15%（每年）
销售服务费率,0.00%（每年）,最高认购费率,0.80%（前端）天天基金优惠费率：0.08%（前端）
业绩比较基准,沪深300指数收益率*55%+中债总指数(财富)收益率*45%,跟踪标的,该基金无跟踪标的
