基金全称,景顺长城优质成长股票型证券投资基金,基金简称,景顺长城优质成长股票C
基金代码,021500（前端）基金类型股票型,基金类型,股票型
发行日期,2013年11月21日,成立日期/规模,2024年05月16日 / --
资产规模,1.63亿元（截止至：2025年06月30日）份额规模0.9961亿份（截止至：2025年06月30日）,份额规模,0.9961亿份（截止至：2025年06月30日）
基金管理人,景顺长城基金,基金托管人,建设银行
基金经理人,张仲维,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.40%（每年）,最高认购费率,---（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,沪深300指数*90%+中证全债指数*10%,跟踪标的,该基金无跟踪标的
