基金全称,宏利转型机遇股票型证券投资基金,基金简称,宏利转型机遇股票C
基金代码,012800（前端）基金类型股票型,基金类型,股票型
发行日期,2014年10月23日,成立日期/规模,2021年07月12日 / --
资产规模,3.09亿元（截止至：2025年06月30日）份额规模1.1568亿份（截止至：2025年06月30日）,份额规模,1.1568亿份（截止至：2025年06月30日）
基金管理人,宏利基金,基金托管人,中国银行
基金经理人,孟杰,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.30%（每年）,最高认购费率,---（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证800指数收益率*85%+中证综合债指数收益率*15%,跟踪标的,该基金无跟踪标的
