基金全称,东吴新产业精选股票型证券投资基金,基金简称,东吴新产业精选股票C
基金代码,011470（前端）基金类型股票型,基金类型,股票型
发行日期,2011年08月29日,成立日期/规模,2021年02月02日 / --
资产规模,0.26亿元（截止至：2025年06月30日）份额规模0.0856亿份（截止至：2025年06月30日）,份额规模,0.0856亿份（截止至：2025年06月30日）
基金管理人,东吴基金,基金托管人,建设银行
基金经理人,刘瑞,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.40%（每年）,最高认购费率,---（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证新兴产业指数收益率*60%+恒生综合指数收益率*20%+中国债券综合全价指数收益率*20%,跟踪标的,该基金无跟踪标的
