基金全称,银河创新成长混合型证券投资基金,基金简称,银河创新成长混合C
基金代码,014143（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2010年11月29日,成立日期/规模,2021年11月22日 / --
资产规模,28.39亿元（截止至：2025年09月30日）份额规模2.9354亿份（截止至：2025年09月30日）,份额规模,2.9354亿份（截止至：2025年09月30日）
基金管理人,银河基金,基金托管人,招商银行
基金经理人,郑巍山,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.60%（每年）,最高认购费率,---（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证500指数收益率*75%+上证国债指数收益率*25%,跟踪标的,该基金无跟踪标的
