基金全称,博时汇兴回报一年持有期灵活配置混合型证券投资基金,基金简称,博时汇兴回报一年持有期混合
基金代码,011056（前端）基金类型混合型-灵活,基金类型,混合型-灵活
发行日期,2021年01月11日,成立日期/规模,2021年01月14日 / 147.192亿份
资产规模,54.55亿元（截止至：2025年06月30日）份额规模75.3254亿份（截止至：2025年06月30日）,份额规模,75.3254亿份（截止至：2025年06月30日）
基金管理人,博时基金,基金托管人,兴业银行
基金经理人,吴渭,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,---（每年）,最高认购费率,1.20%（前端）
业绩比较基准,沪深300指数收益率*50%+中证港股通综合指数收益率*10%+中债综合财富(总值)指数收益率*40%,跟踪标的,该基金无跟踪标的
