基金全称,信澳星亮智选混合型证券投资基金,基金简称,信澳星亮智选混合A
基金代码,020303（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2024年01月08日,成立日期/规模,2024年01月30日 / 3.152亿份
资产规模,0.48亿元（截止至：2025年06月30日）份额规模0.3072亿份（截止至：2025年06月30日）,份额规模,0.3072亿份（截止至：2025年06月30日）
基金管理人,信达澳亚基金,基金托管人,建设银行
基金经理人,冯玺祥,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）
业绩比较基准,中证2000指数收益率*90%+中证港股通综合指数收益率*5%+银行活期存款利率(税后)*5%,跟踪标的,该基金无跟踪标的
