基金全称,汇添富恒生生物科技交易型开放式指数证券投资基金发起式联接基金(QDII),基金简称,汇添富恒生生物科技ETF发起式联接(QDII)A
基金代码,020634（前端）基金类型指数型-海外股票,基金类型,指数型-海外股票
发行日期,2024年02月01日,成立日期/规模,2024年03月01日 / 0.237亿份
资产规模,0.61亿元（截止至：2025年06月30日）份额规模0.4005亿份（截止至：2025年06月30日）,份额规模,0.4005亿份（截止至：2025年06月30日）
基金管理人,汇添富基金,基金托管人,农业银行
基金经理人,乐无穹,成立来分红,每份累计0.00元（0次）
管理费率,0.15%（每年）,托管费率,0.05%（每年）
销售服务费率,0.00%（每年）,最高认购费率,0.80%（前端）
业绩比较基准,经人民币汇率调整的恒生生物科技指数收益率*95%+商业银行活期存款利率(税后)*5%,跟踪标的,恒生生物科技指数
