基金全称,华安香港精选股票型证券投资基金,基金简称,华安香港精选股票(QDII)
基金代码,040018（前端）基金类型QDII-普通股票,基金类型,QDII-普通股票
发行日期,2010年08月18日,成立日期/规模,2010年09月19日 / 7.409亿份
资产规模,4.29亿元（截止至：2025年06月30日）份额规模1.8179亿份（截止至：2025年06月30日）,份额规模,1.8179亿份（截止至：2025年06月30日）
基金管理人,华安基金,基金托管人,工商银行
基金经理人,苏圻涵、翁启森,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,---（每年）,最高认购费率,1.50%（前端）
业绩比较基准,MSCI中华指数(MSCI Zhong Hua Index),跟踪标的,该基金无跟踪标的
