基金全称,泰信中小盘精选混合型证券投资基金,基金简称,泰信中小盘精选混合
基金代码,290011（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2011年09月13日,成立日期/规模,2011年10月26日 / 2.623亿份
资产规模,17.22亿元（截止至：2025年09月30日）份额规模3.6465亿份（截止至：2025年09月30日）,份额规模,3.6465亿份（截止至：2025年09月30日）
基金管理人,泰信基金,基金托管人,中国银行
基金经理人,董季周,成立来分红,每份累计0.26元（4次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,---（每年）,最高认购费率,1.20%（前端）
业绩比较基准,中证700指数收益率×80%+中证全债指数收益率×20%,跟踪标的,该基金无跟踪标的
