基金全称,嘉实科技创新混合型证券投资基金,基金简称,嘉实科技创新混合
基金代码,007343（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2019年04月29日,成立日期/规模,2019年05月07日 / 9.887亿份
资产规模,33.67亿元（截止至：2025年06月30日）份额规模12.2805亿份（截止至：2025年06月30日）,份额规模,12.2805亿份（截止至：2025年06月30日）
基金管理人,嘉实基金,基金托管人,招商银行
基金经理人,王贵重,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,---（每年）,最高认购费率,1.20%（前端）
业绩比较基准,中国战略新兴产业成份指数收益率×65%+恒生指数收益率×15%+中债综合财富指数收益率×20%,跟踪标的,该基金无跟踪标的
