基金全称,博时量化价值股票型证券投资基金,基金简称,博时量化价值股票C
基金代码,005961（前端）基金类型股票型,基金类型,股票型
发行日期,2018年06月01日,成立日期/规模,2018年06月26日 / 3.412亿份
资产规模,0.61亿元（截止至：2025年06月30日）份额规模0.4748亿份（截止至：2025年06月30日）,份额规模,0.4748亿份（截止至：2025年06月30日）
基金管理人,博时基金,基金托管人,农业银行
基金经理人,黄瑞庆,成立来分红,每份累计0.22元（3次）
管理费率,0.90%（每年）,托管费率,0.20%（每年）
销售服务费率,0.80%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,沪深300指数收益率×70%+恒生综合指数收益率×20%+中债综合财富(总值)指数收益率×10%,跟踪标的,该基金无跟踪标的
