基金全称,金信多策略精选灵活配置混合型证券投资基金,基金简称,金信多策略精选混合A
基金代码,004223（前端）基金类型混合型-灵活,基金类型,混合型-灵活
发行日期,2017年03月27日,成立日期/规模,2017年06月08日 / 2.001亿份
资产规模,0.26亿元（截止至：2025年06月30日）份额规模0.1647亿份（截止至：2025年06月30日）,份额规模,0.1647亿份（截止至：2025年06月30日）
基金管理人,金信基金,基金托管人,广州农商银行
基金经理人,谭智汨,成立来分红,每份累计0.77元（10次）
管理费率,1.20%（每年）,托管费率,0.15%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）天天基金优惠费率：0.12%（前端）
业绩比较基准,沪深300指数收益率*55%+上证国债指数收益率*45%,跟踪标的,该基金无跟踪标的
