基金全称,国泰中证500指数增强型证券投资基金,基金简称,国泰中证500指数增强C
基金代码,003761（前端）基金类型指数型-股票,基金类型,指数型-股票
发行日期,2017年04月28日,成立日期/规模,2017年08月01日 / 2.054亿份
资产规模,0.04亿元（截止至：2025年06月30日）份额规模0.0385亿份（截止至：2025年06月30日）,份额规模,0.0385亿份（截止至：2025年06月30日）
基金管理人,国泰基金,基金托管人,宁波银行
基金经理人,吴中昊,成立来分红,每份累计0.06元（1次）
管理费率,1.00%（每年）,托管费率,0.10%（每年）
销售服务费率,0.01%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证500指数收益率×95%+同期银行活期存款利率(税后)×5%,跟踪标的,中证500指数
