date,fund_code,名称,评分,持续天数,风险预警,回撤%,RSI,BIAS,price
2026-04-27,019599,未知品种,3,3,✅高胜率区,-22.1,6.82,-2.92,1.1136
2026-04-27,012729,未知品种,3,6,✅高胜率区,-22.7,9.88,-1.7,1.3657
2026-04-27,002207,未知品种,1,31,正常,-26.53,37.8,-3.04,2.913
2026-04-24,006328,未知品种,3,44,✅高胜率区,-28.78,15.18,-2.11,0.9272
2026-04-27,021031,未知品种,3,3,✅高胜率区,-22.22,11.0,-2.99,1.7292
2026-04-27,021674,未知品种,3,13,✅高胜率区,-25.95,18.25,-3.32,1.5558
2026-04-27,008182,未知品种,1,33,正常,-24.44,43.9,-0.77,0.923
2026-04-27,001770,未知品种,1,2,正常,-20.88,33.97,-1.52,2.156
2026-04-27,020635,未知品种,3,3,✅高胜率区,-21.16,5.77,-3.06,1.5823
2026-04-27,018558,未知品种,3,3,✅高胜率区,-21.77,4.9,-2.96,1.1887
