date,fund_code,名称,评分,持续天数,风险预警,回撤%,RSI,BIAS,price
2026-04-15,012729,未知品种,1,3,🚩高风险(陷阱),-20.83,58.88,-0.76,1.3988
2026-04-15,002207,未知品种,1,23,🚩高风险(陷阱),-26.38,62.08,-1.74,2.919
2026-04-15,003305,未知品种,1,1,🚩高风险(陷阱),-20.09,79.0,-0.41,5.192
2026-04-15,013466,未知品种,1,24,🚩高风险(陷阱),-22.37,88.06,1.14,1.1384
2026-04-14,006328,未知品种,1,36,🚩高风险(陷阱),-29.83,61.48,-0.13,0.9135
2026-04-15,015039,未知品种,1,1,🚩高风险(陷阱),-20.37,88.95,0.76,0.5005
2026-04-15,021674,未知品种,1,5,🚩高风险(陷阱),-22.31,62.8,-1.12,1.6323
2026-04-15,008182,未知品种,1,25,🚩高风险(陷阱),-25.22,79.48,0.03,0.9135
2026-04-15,001770,未知品种,1,19,🚩高风险(陷阱),-20.33,76.65,1.08,2.171
