date,fund_code,名称,评分,持续天数,风险预警,回撤%,RSI,BIAS,price
2026-04-14,012729,未知品种,1,2,🚩高风险(陷阱),-21.07,58.53,-0.64,1.3945
2026-04-14,002207,未知品种,1,22,🚩高风险(陷阱),-25.75,64.06,-0.42,2.944
2026-04-14,013466,未知品种,3,23,✅高胜率区,-21.35,0.0,3.94,1.1534
2026-04-13,006328,未知品种,1,35,🚩高风险(陷阱),-30.36,58.23,-0.55,0.9066
2026-04-14,021031,未知品种,3,2,✅高胜率区,-20.16,10.22,-1.13,1.7749
2026-04-14,021674,未知品种,1,4,🚩高风险(陷阱),-22.01,61.37,-0.27,1.6386
2026-04-14,008182,未知品种,1,24,🚩高风险(陷阱),-25.1,68.34,1.07,0.915
2026-04-14,001770,未知品种,1,18,🚩高风险(陷阱),-20.55,72.73,1.75,2.165
