date,fund_code,名称,评分,持续天数,风险预警,回撤%,RSI,BIAS,price
2026-04-28,019599,未知品种,3,4,✅高胜率区,-22.23,7.3,-2.06,1.1118
2026-04-28,012729,未知品种,3,7,✅高胜率区,-22.32,19.91,-0.77,1.3724
2026-04-28,002207,未知品种,3,32,✅高胜率区,-28.42,18.47,-4.49,2.838
2026-04-28,003305,未知品种,3,1,✅高胜率区,-20.7,23.87,-3.66,5.152
2026-04-27,006328,未知品种,3,45,✅高胜率区,-29.7,13.47,-2.58,0.9153
2026-04-28,021031,未知品种,3,4,✅高胜率区,-22.96,11.25,-2.77,1.7127
2026-04-28,016708,未知品种,3,1,✅高胜率区,-20.0,16.14,-3.48,1.8983
2026-04-28,021674,未知品种,3,14,✅高胜率区,-27.52,3.98,-4.13,1.5228
2026-04-28,008182,未知品种,1,34,正常,-26.09,39.74,-2.51,0.9029
2026-04-28,001770,未知品种,3,3,✅高胜率区,-22.75,27.32,-3.2,2.105
2026-04-28,020635,未知品种,3,4,✅高胜率区,-21.15,6.66,-2.01,1.5826
2026-04-28,018168,未知品种,3,1,✅高胜率区,-20.48,14.67,-3.54,1.9099
2026-04-28,018558,未知品种,3,4,✅高胜率区,-21.83,5.33,-2.03,1.1877
