date,fund_code,名称,评分,持续天数,风险预警,回撤%,RSI,BIAS,price
2026-04-07,012729,未知品种,1,3,正常,-22.85,47.39,-0.68,1.3631
2026-04-07,002207,未知品种,1,17,🚩高风险(陷阱),-28.55,57.3,-1.5,2.833
2026-04-07,003305,未知品种,1,13,正常,-24.0,43.65,0.06,4.938
2026-04-07,012651,未知品种,1,3,正常,-21.13,42.12,0.12,1.1772
2026-04-07,013466,未知品种,3,18,✅高胜率区,-28.89,28.07,-0.94,1.0428
2026-04-03,006328,未知品种,3,30,✅高胜率区,-31.26,29.01,-0.9,0.8949
2026-04-07,014243,未知品种,1,3,正常,-21.26,44.84,-0.63,1.8851
2026-04-07,004433,未知品种,1,13,🚩高风险(陷阱),-21.76,55.5,-0.1,1.8979
2026-04-07,016708,未知品种,1,13,正常,-22.05,54.33,-0.25,1.8496
2026-04-07,015039,未知品种,5,4,🔥极高胜率(背离),-24.63,4.11,-7.62,0.4737
2026-04-07,015642,未知品种,1,3,正常,-20.92,35.15,-0.09,1.7859
2026-04-07,014143,未知品种,1,8,正常,-21.77,42.98,0.44,7.9823
2026-04-07,021674,未知品种,1,13,🚩高风险(陷阱),-24.52,60.0,-1.15,1.586
2026-04-07,008182,未知品种,1,19,正常,-29.1,44.25,-1.5,0.8661
2026-04-07,001770,未知品种,1,13,正常,-24.77,40.78,-1.25,2.05
2026-04-07,010214,未知品种,1,8,正常,-21.77,38.08,-0.47,0.8936
2026-04-07,018168,未知品种,1,13,正常,-22.23,54.21,-0.26,1.8679
