date,fund_code,名称,评分,持续天数,风险预警,回撤%,RSI,BIAS,price
2026-03-31,013466,未知品种,3,14,✅高胜率区,-28.35,47.87,-1.91,1.0507
2026-03-31,018558,未知品种,1,22,🚩高风险(陷阱),-22.13,82.07,1.66,1.1832
2026-03-31,014162,未知品种,3,1,✅高胜率区,-20.38,38.75,-2.88,2.9165
2026-03-31,021031,未知品种,1,28,🚩高风险(陷阱),-23.26,82.26,2.38,1.706
2026-03-31,019599,未知品种,1,22,🚩高风险(陷阱),-22.33,81.91,1.71,1.1104
2026-03-31,016708,未知品种,1,9,🚩高风险(陷阱),-22.42,77.0,1.23,1.8409
2026-03-31,001770,未知品种,1,9,🚩高风险(陷阱),-24.66,69.64,-0.41,2.053
2026-03-31,003305,未知品种,1,9,🚩高风险(陷阱),-24.43,65.92,-0.46,4.91
2026-03-31,012429,未知品种,1,1,正常,-20.99,53.71,-1.76,1.0612
2026-03-31,021674,未知品种,1,9,🚩高风险(陷阱),-23.98,78.28,2.35,1.5973
2026-03-31,012651,未知品种,3,1,✅高胜率区,-22.57,42.82,-3.43,1.1556
2026-03-31,013010,未知品种,3,1,✅高胜率区,-20.05,46.02,-1.53,0.9495
2026-03-31,004433,未知品种,1,9,🚩高风险(陷阱),-22.31,76.62,1.18,1.8845
2026-03-31,012729,未知品种,1,8,🚩高风险(陷阱),-23.6,60.4,-0.87,1.3499
2026-03-31,010214,未知品种,3,4,✅高胜率区,-22.21,41.96,-2.47,0.8885
2026-03-31,014143,未知品种,3,4,✅高胜率区,-23.25,39.49,-3.4,7.8308
2026-03-31,018168,未知品种,1,9,🚩高风险(陷阱),-22.49,77.1,1.29,1.8615
2026-03-31,002207,未知品种,1,13,🚩高风险(陷阱),-27.29,82.45,3.19,2.883
2026-03-31,015968,未知品种,3,1,✅高胜率区,-20.64,49.28,-2.12,1.5875
2026-03-31,008182,未知品种,1,15,🚩高风险(陷阱),-29.28,66.8,-0.74,0.8639
2026-03-31,012970,未知品种,3,1,✅高胜率区,-20.78,38.63,-3.37,0.9993
2026-03-31,014243,未知品种,1,9,🚩高风险(陷阱),-21.79,63.26,-0.78,1.8724
2026-03-31,012630,未知品种,3,1,✅高胜率区,-20.78,38.69,-3.38,0.953
2026-03-31,015642,未知品种,5,2,🔥极高胜率(背离),-22.37,8.28,-5.38,1.7532
2026-03-30,006328,未知品种,3,26,✅高胜率区,-30.81,38.68,-1.76,0.9008
2026-03-31,020635,未知品种,1,22,🚩高风险(陷阱),-21.33,84.48,1.85,1.579
2026-03-31,008888,未知品种,3,1,✅高胜率区,-20.83,38.56,-3.4,1.4005
2026-03-30,017437,未知品种,3,1,✅高胜率区,-20.44,36.22,-3.08,1.8822
