date,fund_code,名称,评分,持续天数,风险预警,回撤%,RSI,BIAS,price
2026-04-29,019599,未知品种,3,5,✅高胜率区,-22.15,9.44,-1.07,1.1129
2026-04-29,012729,未知品种,1,8,正常,-20.87,42.26,1.26,1.3981
2026-04-29,002207,未知品种,3,33,✅高胜率区,-26.25,29.86,-0.77,2.924
2026-04-28,006328,未知品种,3,46,✅高胜率区,-30.9,2.36,-3.07,0.8996
2026-04-29,021031,未知品种,3,5,✅高胜率区,-23.24,11.69,-2.01,1.7064
2026-04-29,021674,未知品种,3,15,✅高胜率区,-25.78,21.94,-0.85,1.5594
2026-04-29,008182,未知品种,1,35,正常,-26.24,32.48,-2.06,0.9011
2026-04-29,001770,未知品种,3,4,✅高胜率区,-21.83,25.0,-1.34,2.13
2026-04-29,020635,未知品种,3,5,✅高胜率区,-21.0,9.88,-0.93,1.5855
2026-04-29,018558,未知品种,3,5,✅高胜率区,-21.63,9.66,-0.91,1.1908
