date,fund_code,名称,评分,持续天数,风险预警,回撤%,RSI,BIAS,price
2026-04-09,012729,未知品种,1,1,🚩高风险(陷阱),-20.47,62.24,0.77,1.4051
2026-04-09,002207,未知品种,1,19,🚩高风险(陷阱),-23.93,65.57,3.08,3.016
2026-04-09,013466,未知品种,1,20,🚩高风险(陷阱),-24.94,71.97,3.26,1.1007
2026-04-08,006328,未知品种,1,32,🚩高风险(陷阱),-28.24,70.6,3.28,0.9343
2026-04-09,015039,未知品种,3,6,✅高胜率区,-21.89,15.48,2.41,0.4909
2026-04-09,021674,未知品种,1,1,🚩高风险(陷阱),-20.93,63.15,1.9,1.6613
2026-04-09,008182,未知品种,1,21,🚩高风险(陷阱),-25.47,69.78,2.08,0.9105
2026-04-09,001770,未知品种,1,15,🚩高风险(陷阱),-21.91,64.26,1.37,2.128
