date,fund_code,名称,评分,持续天数,风险预警,回撤%,RSI,BIAS,price
2026-04-01,013466,未知品种,1,15,正常,-27.09,50.0,-0.18,1.0692
2026-04-01,016708,未知品种,1,10,🚩高风险(陷阱),-20.65,76.02,2.42,1.8829
2026-04-01,001770,未知品种,1,10,🚩高风险(陷阱),-21.98,77.43,2.11,2.126
2026-04-01,015039,未知品种,7,1,🔥极高胜率(背离),-23.88,13.22,-16.28,0.4784
2026-04-01,003305,未知品种,1,10,🚩高风险(陷阱),-22.81,64.79,1.05,5.015
2026-04-01,021674,未知品种,1,10,🚩高风险(陷阱),-21.84,76.89,3.9,1.6423
2026-04-01,004433,未知品种,1,10,🚩高风险(陷阱),-20.49,75.65,2.45,1.9286
2026-04-01,010214,未知品种,1,5,正常,-20.04,45.31,0.4,0.9133
2026-04-01,014143,未知品种,1,5,正常,-20.6,47.82,0.04,8.1018
2026-04-01,018168,未知品种,1,10,🚩高风险(陷阱),-20.75,75.72,2.46,1.9034
2026-04-01,002207,未知品种,1,14,🚩高风险(陷阱),-25.6,82.31,4.09,2.95
2026-04-01,008182,未知品种,1,16,🚩高风险(陷阱),-26.19,76.27,2.51,0.9017
2026-03-31,006328,未知品种,3,27,✅高胜率区,-31.03,47.52,-2.0,0.8979
