date,fund_code,名称,评分,持续天数,风险预警,回撤%,RSI,BIAS,price
2026-05-12,019599,未知品种,3,11,✅高胜率区,-22.65,41.99,-0.52,1.1058
2026-05-12,012729,未知品种,1,1,正常,-21.19,47.6,-0.96,1.3925
2026-05-12,002207,未知品种,1,39,🚩高风险(陷阱),-23.0,67.39,0.52,3.053
2026-05-11,006328,未知品种,1,52,🚩高风险(陷阱),-28.75,64.29,0.23,0.9276
2026-05-12,021031,未知品种,3,11,✅高胜率区,-23.97,40.52,-0.87,1.6902
2026-05-12,021674,未知品种,1,21,🚩高风险(陷阱),-24.08,59.11,0.02,1.5952
2026-05-12,020398,未知品种,3,1,✅高胜率区,-20.22,32.35,-1.43,1.6256
2026-05-12,020635,未知品种,3,11,✅高胜率区,-21.63,40.94,-0.62,1.5728
2026-05-12,018558,未知品种,3,11,✅高胜率区,-22.07,42.89,-0.49,1.184
