date,fund_code,名称,评分,持续天数,风险预警,回撤%,RSI,BIAS,price
2026-05-25,011068,未知品种,1,6,正常,-21.01,32.38,0.28,5.512
2026-05-25,010655,未知品种,3,7,✅高胜率区,-22.53,27.77,-0.23,0.9288
2026-05-22,006328,未知品种,3,61,✅高胜率区,-32.3,16.25,-2.07,0.8814
2026-05-25,004433,未知品种,1,7,正常,-20.56,46.12,1.5,1.927
2026-05-25,021031,未知品种,3,20,✅高胜率区,-29.41,29.11,0.56,1.5692
2026-05-25,014662,未知品种,1,5,正常,-20.04,41.57,0.39,2.2238
2026-05-25,020398,未知品种,1,10,正常,-27.22,35.54,0.51,1.4829
2026-05-25,021674,未知品种,1,30,正常,-32.61,32.47,0.53,1.4159
2026-05-25,018168,未知品种,1,7,正常,-21.45,43.08,1.3,1.8865
2026-05-25,001301,未知品种,3,3,✅高胜率区,-22.73,0.0,-2.84,2.978
2026-05-25,016708,未知品种,1,7,正常,-21.25,43.22,1.22,1.8686
2026-05-25,018558,未知品种,3,20,✅高胜率区,-27.27,23.63,0.28,1.1051
2026-05-25,012729,未知品种,3,10,✅高胜率区,-28.36,16.41,-3.65,1.2658
2026-05-25,019599,未知品种,3,20,✅高胜率区,-27.51,24.65,0.28,1.0363
2026-05-25,020635,未知品种,1,20,正常,-26.73,31.03,0.51,1.4706
2026-05-22,011584,未知品种,3,6,✅高胜率区,-23.2,15.56,-0.35,1.0445
2026-05-25,010827,未知品种,3,6,✅高胜率区,-24.89,1.42,-2.48,2.2662
2026-05-25,002207,未知品种,1,48,正常,-31.8,34.32,0.63,2.704
