date,fund_code,名称,评分,持续天数,风险预警,回撤%,RSI,BIAS,price
2026-05-28,008987,未知品种,3,3,✅高胜率区,-22.84,26.75,-2.75,2.0197
2026-05-28,004433,未知品种,1,2,正常,-21.73,51.24,-0.94,1.8985
2026-05-28,019599,未知品种,3,23,✅高胜率区,-31.28,12.93,-4.05,0.9824
2026-05-27,006328,未知品种,3,64,✅高胜率区,-33.7,3.27,-2.16,0.8632
2026-05-28,016068,未知品种,3,1,✅高胜率区,-21.31,12.25,-3.9,1.2546
2026-05-28,011068,未知品种,1,2,正常,-22.46,42.84,-1.77,5.411
2026-05-28,002207,未知品种,3,51,✅高胜率区,-34.65,40.55,-3.1,2.591
2026-05-28,014662,未知品种,3,8,✅高胜率区,-23.15,26.72,-2.73,2.1374
2026-05-28,020635,未知品种,5,23,🔥极高胜率(背离),-30.46,17.05,-3.97,1.3956
2026-05-27,011584,未知品种,1,9,正常,-22.94,53.23,0.26,1.0481
2026-05-28,001301,未知品种,3,6,✅高胜率区,-24.08,13.78,-1.6,2.926
2026-05-28,021031,未知品种,3,23,✅高胜率区,-33.87,17.9,-4.67,1.4702
2026-05-28,018168,未知品种,1,2,正常,-22.59,50.47,-0.84,1.8591
2026-05-28,012729,未知品种,3,13,✅高胜率区,-29.87,0.0,-2.29,1.2391
2026-05-28,009478,未知品种,3,2,✅高胜率区,-22.21,26.47,-2.61,2.1197
2026-05-28,016708,未知品种,1,2,正常,-22.54,49.0,-0.99,1.838
2026-05-28,009034,未知品种,3,3,✅高胜率区,-22.74,26.71,-2.71,2.2156
2026-05-28,021674,未知品种,3,33,✅高胜率区,-35.17,41.5,-2.92,1.3621
2026-05-28,010655,未知品种,3,10,✅高胜率区,-25.94,24.44,-3.64,0.8879
2026-05-28,010827,未知品种,3,9,✅高胜率区,-26.38,11.63,-1.73,2.2212
2026-05-28,018558,未知品种,3,23,✅高胜率区,-30.93,13.37,-3.93,1.0495
2026-05-28,009505,未知品种,3,2,✅高胜率区,-22.68,26.77,-2.75,2.0148
2026-05-28,020398,未知品种,3,13,✅高胜率区,-31.88,19.18,-4.7,1.388
