date,fund_code,名称,评分,持续天数,风险预警,回撤%,RSI,BIAS,price
2026-05-29,008987,未知品种,1,4,正常,-20.7,44.78,0.08,2.0759
2026-05-29,004433,未知品种,1,3,正常,-22.83,53.5,-2.49,1.8718
2026-05-29,019599,未知品种,1,24,正常,-28.92,37.98,-0.4,1.0162
2026-05-28,006328,未知品种,3,65,✅高胜率区,-35.02,2.74,-2.97,0.846
2026-05-29,016068,未知品种,3,2,✅高胜率区,-23.14,12.86,-4.81,1.2255
2026-05-29,011068,未知品种,3,3,✅高胜率区,-23.69,44.62,-3.11,5.325
2026-05-29,002207,未知品种,3,52,✅高胜率区,-35.59,43.51,-4.15,2.554
2026-05-29,014662,未知品种,1,9,正常,-21.02,44.88,0.08,2.1964
2026-05-29,020635,未知品种,1,24,正常,-27.96,39.9,-0.23,1.4458
2026-05-28,011584,未知品种,3,10,✅高胜率区,-24.87,37.03,-1.92,1.0219
2026-05-29,001301,未知品种,5,7,🔥极高胜率(背离),-24.83,19.23,-1.96,2.897
2026-05-29,021031,未知品种,1,24,正常,-31.1,38.42,-0.27,1.5317
2026-05-29,018168,未知品种,1,3,正常,-23.66,53.84,-2.37,1.8334
2026-05-29,012729,未知品种,3,14,✅高胜率区,-30.79,0.0,-2.61,1.2228
2026-05-29,009478,未知品种,1,3,正常,-20.13,45.22,0.11,2.1765
2026-05-29,016708,未知品种,1,3,正常,-23.68,52.25,-2.54,1.8109
2026-05-29,009034,未知品种,1,4,正常,-20.63,44.68,0.07,2.2761
2026-05-29,021674,未知品种,3,34,✅高胜率区,-35.45,46.4,-3.17,1.3563
2026-05-29,010655,未知品种,1,11,正常,-22.58,45.7,0.9,0.9282
2026-05-29,010827,未知品种,5,10,🔥极高胜率(背离),-27.02,16.92,-2.02,2.202
2026-05-29,018558,未知品种,1,24,正常,-28.64,37.91,-0.41,1.0843
2026-05-29,009505,未知品种,1,3,正常,-20.52,44.95,0.09,2.0711
2026-05-29,020398,未知品种,1,14,正常,-28.71,39.52,0.17,1.4526
