date,fund_code,名称,评分,持续天数,风险预警,回撤%,RSI,BIAS,price
2026-05-06,019599,未知品种,5,7,🔥极高胜率(背离),-22.46,26.09,-0.52,1.1085
2026-05-06,012729,未知品种,1,10,🚩高风险(陷阱),-20.96,55.59,1.29,1.3965
2026-05-06,002207,未知品种,1,35,🚩高风险(陷阱),-24.21,55.95,2.94,3.005
2026-04-30,006328,未知品种,3,48,✅高胜率区,-30.95,22.36,-1.58,0.899
2026-05-06,021031,未知品种,5,7,🔥极高胜率(背离),-23.59,29.47,-1.15,1.6987
2026-05-06,021674,未知品种,1,17,正常,-24.44,51.52,2.14,1.5876
2026-05-06,008182,未知品种,1,37,🚩高风险(陷阱),-22.21,63.09,3.27,0.9503
2026-05-06,020635,未知品种,5,7,🔥极高胜率(背离),-21.45,28.68,-0.59,1.5764
2026-05-06,018558,未知品种,5,7,🔥极高胜率(背离),-21.98,26.86,-0.45,1.1855
