date,fund_code,名称,评分,持续天数,风险预警,回撤%,RSI,BIAS,price
2026-05-20,011068,未知品种,3,3,✅高胜率区,-20.97,5.02,-3.19,5.515
2026-05-20,010655,未知品种,3,4,✅高胜率区,-22.7,0.91,-2.16,0.9268
2026-05-19,006328,未知品种,1,58,正常,-29.75,39.34,-0.46,0.9146
2026-05-20,004433,未知品种,3,4,✅高胜率区,-22.0,9.39,-3.36,1.8919
2026-05-20,021031,未知品种,3,17,✅高胜率区,-30.35,0.97,-2.79,1.5484
2026-05-20,014662,未知品种,3,2,✅高胜率区,-21.15,0.1,-2.29,2.1928
2026-05-20,020398,未知品种,3,7,✅高胜率区,-27.73,9.52,-2.19,1.4725
2026-05-20,021674,未知品种,5,27,🔥极高胜率(背离),-33.39,0.0,-5.14,1.3996
2026-05-20,018168,未知品种,3,4,✅高胜率区,-22.69,6.46,-3.73,1.8567
2026-05-20,009478,未知品种,3,1,✅高胜率区,-20.27,0.72,-2.18,2.1725
2026-05-20,016708,未知品种,3,4,✅高胜率区,-22.33,5.29,-3.45,1.843
2026-05-20,009034,未知品种,3,1,✅高胜率区,-20.75,0.0,-2.28,2.2728
2026-05-20,008987,未知品种,3,1,✅高胜率区,-20.82,0.0,-2.3,2.0727
2026-05-20,018558,未知品种,3,17,✅高胜率区,-27.75,2.63,-2.46,1.0977
2026-05-20,012729,未知品种,5,7,🔥极高胜率(背离),-24.69,27.85,-2.08,1.3306
2026-05-20,003305,未知品种,3,2,✅高胜率区,-20.35,10.1,-2.91,5.175
2026-05-20,019599,未知品种,3,17,✅高胜率区,-27.99,2.96,-2.32,1.0294
2026-05-20,009505,未知品种,3,1,✅高胜率区,-20.66,0.0,-2.3,2.0674
2026-05-20,020635,未知品种,3,17,✅高胜率区,-27.46,4.3,-2.34,1.4559
2026-05-19,011584,未知品种,3,3,✅高胜率区,-23.2,0.0,-3.81,1.0445
2026-05-20,010827,未知品种,3,3,✅高胜率区,-22.05,5.77,-2.96,2.3519
2026-05-20,002207,未知品种,3,45,✅高胜率区,-32.41,0.0,-4.81,2.68
