date,fund_code,名称,评分,持续天数,风险预警,回撤%,RSI,BIAS,price
2026-05-13,019599,未知品种,1,12,正常,-23.29,36.19,-1.13,1.0967
2026-05-13,012729,未知品种,1,2,🚩高风险(陷阱),-20.25,63.47,-0.14,1.409
2026-05-13,002207,未知品种,1,40,🚩高风险(陷阱),-23.76,69.25,-1.23,3.023
2026-05-12,006328,未知品种,1,53,正常,-29.37,52.9,-0.74,0.9195
2026-05-13,021031,未知品种,3,12,✅高胜率区,-25.21,26.73,-2.01,1.6626
2026-05-13,021674,未知品种,1,22,🚩高风险(陷阱),-24.34,68.98,-0.98,1.5897
2026-05-13,020398,未知品种,3,2,✅高胜率区,-22.23,18.92,-2.92,1.5846
2026-05-13,020635,未知品种,1,12,正常,-22.46,32.4,-1.35,1.5562
2026-05-13,018558,未知品种,1,12,正常,-22.73,36.16,-1.11,1.174
