date,fund_code,名称,评分,持续天数,风险预警,回撤%,RSI,BIAS,price
2026-05-19,011068,未知品种,5,2,🔥极高胜率(背离),-21.31,1.13,-5.15,5.491
2026-05-19,010655,未知品种,3,3,✅高胜率区,-22.75,3.55,-3.51,0.9261
2026-05-18,006328,未知品种,3,57,✅高胜率区,-30.56,20.3,-1.85,0.904
2026-05-19,004433,未知品种,5,3,🔥极高胜率(背离),-22.18,7.16,-5.07,1.8876
2026-05-19,021031,未知品种,3,16,✅高胜率区,-30.41,0.0,-4.3,1.547
2026-05-19,014662,未知品种,5,1,🔥极高胜率(背离),-20.0,10.3,-1.6,2.2248
2026-05-19,020398,未知品种,3,6,✅高胜率区,-28.61,0.0,-5.0,1.4545
2026-05-19,021674,未知品种,5,26,🔥极高胜率(背离),-32.34,0.0,-5.73,1.4216
2026-05-19,018168,未知品种,5,3,🔥极高胜率(背离),-22.75,5.48,-5.43,1.8552
2026-05-19,016708,未知品种,5,3,🔥极高胜率(背离),-22.37,4.6,-5.05,1.8421
2026-05-19,018558,未知品种,3,16,✅高胜率区,-27.91,0.0,-3.9,1.0953
2026-05-19,012729,未知品种,3,6,✅高胜率区,-23.21,28.58,-0.91,1.3567
2026-05-19,003305,未知品种,5,1,🔥极高胜率(背离),-21.04,2.37,-5.14,5.13
2026-05-19,019599,未知品种,3,16,✅高胜率区,-28.16,0.0,-3.71,1.027
2026-05-19,020635,未知品种,3,16,✅高胜率区,-27.73,0.0,-3.96,1.4504
2026-05-18,011584,未知品种,3,2,✅高胜率区,-22.56,0.0,-4.23,1.0532
2026-05-19,010827,未知品种,3,2,✅高胜率区,-21.65,5.07,-3.65,2.3638
2026-05-19,002207,未知品种,5,44,🔥极高胜率(背离),-31.68,0.0,-5.86,2.709
