date,fund_code,名称,评分,持续天数,风险预警,回撤%,RSI,BIAS,price
2026-07-09,021031,未知品种,1,52,🚩高风险(陷阱),-31.96,70.56,-1.34,1.5127
2026-07-09,016708,未知品种,3,13,✅高胜率区,-32.04,25.98,-3.73,1.6126
2026-07-09,011068,未知品种,1,13,正常,-31.63,30.33,-3.92,4.771
2026-07-09,020635,未知品种,1,52,🚩高风险(陷阱),-27.49,69.77,-1.06,1.4553
2026-07-09,011117,未知品种,1,24,正常,-22.11,47.71,1.66,2.0632
2026-07-09,003305,未知品种,5,2,🔥极高胜率(背离),-22.0,4.75,-6.62,5.207
2026-07-09,002207,未知品种,1,80,🚩高风险(陷阱),-40.83,60.77,-1.06,2.346
2026-07-09,012729,未知品种,1,42,正常,-33.19,50.37,-0.07,1.1804
2026-07-09,009478,未知品种,1,31,🚩高风险(陷阱),-26.98,77.26,-0.38,1.9898
2026-07-09,014662,未知品种,1,37,🚩高风险(陷阱),-28.17,76.96,-0.43,1.9977
2026-07-09,019599,未知品种,1,52,🚩高风险(陷阱),-28.19,70.85,-0.92,1.0266
2026-07-09,004815,未知品种,1,3,🚩高风险(陷阱),-21.85,67.24,-1.15,1.7955
2026-07-09,009034,未知品种,1,32,🚩高风险(陷阱),-27.81,76.64,-0.45,2.0702
2026-07-09,009505,未知品种,1,31,🚩高风险(陷阱),-27.66,77.05,-0.43,1.885
2026-07-09,010827,未知品种,1,38,正常,-37.27,37.89,-2.23,1.8925
2026-07-09,004235,未知品种,1,17,正常,-23.32,50.98,-1.4,3.9638
2026-07-09,016068,未知品种,3,4,✅高胜率区,-30.43,31.21,-7.05,1.1092
2026-07-09,008987,未知品种,1,32,🚩高风险(陷阱),-27.94,76.78,-0.46,1.8863
2026-07-09,018558,未知品种,1,52,🚩高风险(陷阱),-27.99,70.55,-0.96,1.0941
2026-07-09,001770,未知品种,3,2,✅高胜率区,-22.75,38.93,-6.59,2.105
2026-07-09,018168,未知品种,3,13,✅高胜率区,-30.93,18.94,-4.08,1.6588
2026-07-09,001301,未知品种,1,35,🚩高风险(陷阱),-30.98,62.07,0.67,2.66
2026-07-09,021674,未知品种,1,62,🚩高风险(陷阱),-41.97,69.1,-1.15,1.2192
2026-07-09,004433,未知品种,3,13,✅高胜率区,-31.08,22.14,-3.93,1.6717
2026-07-09,020398,未知品种,1,42,🚩高风险(陷阱),-30.64,70.92,-1.51,1.4133
2026-07-09,015857,未知品种,3,1,✅高胜率区,-20.1,30.0,-1.99,1.5048
2026-07-08,006328,未知品种,3,93,✅高胜率区,-35.29,0.0,6.71,0.8424
2026-07-08,011584,未知品种,1,38,🚩高风险(陷阱),-31.35,66.34,1.01,0.9337
