date,fund_code,名称,评分,持续天数,风险预警,回撤%,RSI,BIAS,price
2026-07-03,021031,未知品种,1,48,🚩高风险(陷阱),-30.14,85.45,8.26,1.553
2026-07-03,016708,未知品种,1,9,正常,-27.13,44.98,1.87,1.7291
2026-07-03,011068,未知品种,1,9,正常,-26.76,54.25,2.59,5.111
2026-07-03,020635,未知品种,1,48,🚩高风险(陷阱),-25.69,84.5,7.14,1.4914
2026-07-03,011117,未知品种,1,20,正常,-23.7,38.08,-1.08,2.0212
2026-07-03,002207,未知品种,1,76,🚩高风险(陷阱),-38.16,65.55,5.86,2.452
2026-07-03,012729,未知品种,1,38,正常,-33.65,49.64,0.19,1.1722
2026-07-03,013010,未知品种,1,2,正常,-20.26,41.85,-0.15,0.947
2026-07-03,009478,未知品种,1,27,🚩高风险(陷阱),-26.01,75.0,2.62,2.0162
2026-07-03,014662,未知品种,1,33,🚩高风险(陷阱),-27.15,75.03,2.76,2.0259
2026-07-03,019599,未知品种,1,48,🚩高风险(陷阱),-26.64,82.76,6.78,1.0487
2026-07-03,004815,未知品种,1,9,🚩高风险(陷阱),-20.7,63.16,3.6,1.8219
2026-07-03,009034,未知品种,1,28,🚩高风险(陷阱),-26.78,74.99,2.74,2.0997
2026-07-03,009505,未知品种,1,27,🚩高风险(陷阱),-26.64,75.08,2.78,1.9116
2026-07-03,010827,未知品种,1,34,🚩高风险(陷阱),-34.34,68.85,3.14,1.981
2026-07-03,004235,未知品种,1,13,🚩高风险(陷阱),-21.92,80.93,2.55,4.0357
2026-07-03,008987,未知品种,1,28,🚩高风险(陷阱),-26.89,75.28,2.83,1.9137
2026-07-03,018558,未知品种,1,48,🚩高风险(陷阱),-26.37,83.01,6.95,1.1187
2026-07-03,018168,未知品种,1,9,正常,-25.46,37.57,1.29,1.7902
2026-07-03,001301,未知品种,1,31,🚩高风险(陷阱),-30.67,67.01,2.82,2.672
2026-07-03,021674,未知品种,1,58,🚩高风险(陷阱),-39.47,73.05,7.42,1.2719
2026-07-03,004433,未知品种,1,9,正常,-25.67,40.47,1.59,1.8029
2026-07-03,020398,未知品种,1,38,🚩高风险(陷阱),-28.52,84.85,9.3,1.4564
2026-07-02,006328,未知品种,1,89,正常,-40.89,48.74,2.13,0.7696
2026-07-02,011584,未知品种,1,34,正常,-32.94,30.62,-0.02,0.9121
