date,fund_code,名称,评分,持续天数,风险预警,回撤%,RSI,BIAS,price
2026-07-01,021031,未知品种,1,46,🚩高风险(陷阱),-36.99,63.76,1.29,1.4008
2026-07-01,016708,未知品种,3,7,✅高胜率区,-28.85,23.07,-1.65,1.6882
2026-07-01,011068,未知品种,3,7,✅高胜率区,-28.88,27.17,-1.01,4.963
2026-07-01,015290,未知品种,1,7,正常,-21.95,41.06,0.71,1.4909
2026-07-01,020635,未知品种,1,46,🚩高风险(陷阱),-31.96,71.24,1.36,1.3656
2026-07-01,011117,未知品种,1,18,🚩高风险(陷阱),-21.83,61.96,0.48,2.0707
2026-07-01,002207,未知品种,3,74,✅高胜率区,-42.52,19.05,-1.58,2.279
2026-07-01,012729,未知品种,1,36,🚩高风险(陷阱),-33.21,71.34,1.41,1.18
2026-07-01,009478,未知品种,5,25,🔥极高胜率(背离),-29.3,26.02,-1.37,1.9265
2026-07-01,014662,未知品种,5,31,🔥极高胜率(背离),-30.54,25.96,-1.41,1.9317
2026-07-01,019599,未知品种,1,46,🚩高风险(陷阱),-32.6,69.75,1.13,0.9635
2026-07-01,004815,未知品种,3,7,✅高胜率区,-24.56,25.04,-1.02,1.7333
2026-07-01,009034,未知品种,5,26,🔥极高胜率(背离),-30.16,25.83,-1.39,2.0029
2026-07-01,009505,未知品种,5,25,🔥极高胜率(背离),-30.06,26.02,-1.41,1.8223
2026-07-01,010827,未知品种,1,32,正常,-36.13,32.44,0.63,1.927
2026-07-01,004235,未知品种,1,11,🚩高风险(陷阱),-23.42,60.98,2.16,3.9583
2026-07-01,016068,未知品种,1,24,正常,-24.43,53.75,2.86,1.2049
2026-07-01,008987,未知品种,5,26,🔥极高胜率(背离),-30.35,26.3,-1.4,1.8231
2026-07-01,018558,未知品种,1,46,🚩高风险(陷阱),-32.45,69.85,1.21,1.0263
2026-07-01,018168,未知品种,3,7,✅高胜率区,-26.74,20.02,-1.71,1.7595
2026-07-01,001301,未知品种,1,29,正常,-32.25,34.16,0.78,2.611
2026-07-01,021674,未知品种,3,56,✅高胜率区,-45.16,13.17,-2.07,1.1523
2026-07-01,004433,未知品种,3,7,✅高胜率区,-27.21,16.56,-1.73,1.7656
2026-07-01,020398,未知品种,1,36,🚩高风险(陷阱),-36.05,66.95,2.25,1.3029
2026-06-30,006328,未知品种,1,87,正常,-41.83,33.79,0.41,0.7573
2026-06-30,011584,未知品种,3,32,✅高胜率区,-32.56,24.88,-0.19,0.9172
