date,fund_code,名称,评分,持续天数,风险预警,回撤%,RSI,BIAS,price
2026-07-10,021031,未知品种,1,53,🚩高风险(陷阱),-29.89,66.16,0.81,1.5586
2026-07-10,016708,未知品种,3,14,✅高胜率区,-31.67,23.86,-2.42,1.6215
2026-07-10,011068,未知品种,3,14,✅高胜率区,-31.63,21.48,-3.12,4.771
2026-07-10,020635,未知品种,1,53,🚩高风险(陷阱),-25.35,66.92,1.06,1.4983
2026-07-10,011117,未知品种,1,25,🚩高风险(陷阱),-23.16,60.99,0.06,2.0354
2026-07-10,003305,未知品种,7,3,🔥极高胜率(背离),-23.2,4.97,-5.13,5.127
2026-07-10,013466,未知品种,7,1,🔥极高胜率(背离),-20.87,18.26,-5.77,1.1604
2026-07-10,002207,未知品种,1,81,🚩高风险(陷阱),-40.13,55.64,-0.1,2.374
2026-07-10,012729,未知品种,1,43,🚩高风险(陷阱),-31.63,67.32,1.86,1.208
2026-07-10,013010,未知品种,1,1,正常,-21.18,50.19,-0.84,0.9361
2026-07-10,009478,未知品种,1,32,🚩高风险(陷阱),-27.0,62.36,-0.56,1.9891
2026-07-10,006503,未知品种,3,1,✅高胜率区,-20.01,25.61,-3.42,7.813
2026-07-10,014662,未知品种,1,38,🚩高风险(陷阱),-28.16,62.8,-0.58,1.998
2026-07-10,019599,未知品种,1,53,🚩高风险(陷阱),-26.31,67.48,0.91,1.0535
2026-07-10,004815,未知品种,1,4,🚩高风险(陷阱),-21.65,57.24,-1.07,1.8002
2026-07-10,009034,未知品种,1,33,🚩高风险(陷阱),-27.78,62.66,-0.57,2.071
2026-07-10,009505,未知品种,1,32,🚩高风险(陷阱),-27.65,62.9,-0.58,1.8852
2026-07-10,011452,未知品种,1,1,正常,-20.45,35.76,-2.65,3.3619
2026-07-10,010827,未知品种,1,39,正常,-36.76,40.16,-1.18,1.908
2026-07-10,004235,未知品种,1,18,🚩高风险(陷阱),-22.09,55.55,0.03,4.0271
2026-07-10,016068,未知品种,5,5,🔥极高胜率(背离),-30.43,25.42,-5.52,1.1093
2026-07-10,008987,未知品种,1,33,🚩高风险(陷阱),-27.92,62.52,-0.59,1.8869
2026-07-10,018558,未知品种,1,53,🚩高风险(陷阱),-26.12,67.27,0.84,1.1225
2026-07-10,001770,未知品种,1,3,正常,-21.5,37.48,-4.11,2.139
2026-07-10,018168,未知品种,3,14,✅高胜率区,-30.67,14.51,-2.7,1.665
2026-07-10,008989,未知品种,3,1,✅高胜率区,-21.25,29.4,-4.28,5.4649
2026-07-10,001301,未知品种,1,36,正常,-31.94,48.42,-0.68,2.623
2026-07-10,014243,未知品种,7,1,🔥极高胜率(背离),-22.16,21.13,-5.52,1.9324
2026-07-10,021674,未知品种,1,63,🚩高风险(陷阱),-41.0,63.91,-0.06,1.2396
2026-07-10,004433,未知品种,3,14,✅高胜率区,-30.73,18.86,-2.5,1.6801
2026-07-10,016371,未知品种,1,1,正常,-20.12,42.76,-0.19,2.999
2026-07-10,020398,未知品种,1,43,🚩高风险(陷阱),-27.94,67.32,1.36,1.4682
2026-07-10,015857,未知品种,3,2,✅高胜率区,-20.45,29.75,-1.95,1.4983
2026-07-09,006328,未知品种,1,94,🚩高风险(陷阱),-35.89,91.19,4.12,0.8346
2026-07-09,011584,未知品种,1,39,🚩高风险(陷阱),-31.69,61.92,0.28,0.9291
