category,score,description
选证能力,85.0,反映基金挑选证券而实现风险调整<br>后获得超额收益的能力
收益率,100.0,根据阶段收益评分，反映基金的盈利能力
跟踪误差,65.0,根据基金跟踪指数的密切程度评分
超额收益,75.0,反映基金投资的超额风险所带来的超额收益
管理规模,80.0,根据基金的资产规模评分
