date,fund_code,名称,评分,持续天数,风险预警,回撤%,RSI,BIAS,price
2026-03-02,021031,未知品种,5,7,🔥极高胜率(背离),-25.64,13.58,-4.0,1.6531
2026-03-03,018558,未知品种,5,2,🔥极高胜率(背离),-23.52,12.21,-5.73,1.162
2026-03-03,012429,未知品种,3,1,✅高胜率区,-21.22,13.08,-3.96,1.0582
2026-03-03,019599,未知品种,5,2,🔥极高胜率(背离),-23.57,11.92,-5.65,1.0927
2026-03-03,008182,未知品种,5,1,🔥极高胜率(背离),-20.96,7.71,-6.91,0.9656
2026-03-03,020635,未知品种,5,2,🔥极高胜率(背离),-23.28,13.23,-5.84,1.5397
2026-03-03,020398,未知品种,5,6,🔥极高胜率(背离),-27.9,9.51,-5.84,1.4691
2026-03-02,006328,未知品种,3,6,✅高胜率区,-25.82,3.08,-3.71,0.9657
