date,fund_code,名称,评分,持续天数,风险预警,回撤%,RSI,BIAS,price
2026-03-26,013466,未知品种,3,11,✅高胜率区,-27.08,22.4,-1.29,1.0693
2026-03-26,018558,未知品种,1,19,正常,-25.37,30.61,-0.63,1.134
2026-03-26,021031,未知品种,1,25,正常,-27.46,30.67,-0.47,1.6127
2026-03-26,019599,未知品种,3,19,✅高胜率区,-25.65,29.51,-0.84,1.0629
2026-03-26,016708,未知品种,1,6,正常,-24.66,30.36,0.44,1.7877
2026-03-26,001770,未知品种,1,6,正常,-24.26,31.21,0.58,2.064
2026-03-26,003305,未知品种,3,6,✅高胜率区,-25.15,28.38,-0.23,4.863
2026-03-26,021674,未知品种,3,6,✅高胜率区,-27.65,27.92,-0.98,1.5202
2026-03-26,014662,未知品种,3,1,✅高胜率区,-20.34,27.58,-1.1,2.2153
2026-03-26,012651,未知品种,3,1,✅高胜率区,-20.05,25.02,-2.07,1.1932
2026-03-26,004433,未知品种,3,6,✅高胜率区,-24.53,29.98,0.33,1.8305
2026-03-26,020398,未知品种,1,23,正常,-24.88,32.32,-0.39,1.5306
2026-03-26,012729,未知品种,3,5,✅高胜率区,-23.34,25.64,-1.31,1.3545
2026-03-26,010214,未知品种,3,1,✅高胜率区,-20.28,23.55,-1.67,0.9106
2026-03-26,014143,未知品种,3,1,✅高胜率区,-20.64,22.93,-2.05,8.0974
2026-03-26,018168,未知品种,1,6,正常,-24.86,30.24,0.26,1.8046
2026-03-26,002207,未知品种,3,10,✅高胜率区,-31.5,23.48,-1.53,2.716
2026-03-26,008182,未知品种,1,12,正常,-28.52,34.97,0.9,0.8732
2026-03-26,014243,未知品种,1,6,正常,-20.89,32.17,0.49,1.894
2026-03-26,010655,未知品种,1,1,正常,-20.32,33.68,0.06,0.9553
2026-03-26,011068,未知品种,1,6,正常,-21.48,30.82,0.74,5.479
2026-03-25,006328,未知品种,1,23,正常,-27.7,32.34,0.3,0.9413
2026-03-26,020635,未知品种,1,19,正常,-24.86,30.57,-0.52,1.508
