date,fund_code,名称,评分,持续天数,风险预警,回撤%,RSI,BIAS,price
2026-03-27,013466,未知品种,1,12,正常,-26.33,34.62,0.33,1.0803
2026-03-27,018558,未知品种,1,20,🚩高风险(陷阱),-21.98,56.45,3.53,1.1854
2026-03-27,021031,未知品种,1,26,🚩高风险(陷阱),-23.41,59.34,4.56,1.7027
2026-03-27,019599,未知品种,1,20,🚩高风险(陷阱),-22.26,55.08,3.41,1.1113
2026-03-27,016708,未知品种,1,7,正常,-22.65,54.64,2.88,1.8354
2026-03-27,001770,未知品种,1,7,正常,-23.56,46.43,1.66,2.083
2026-03-27,003305,未知品种,1,7,正常,-23.01,52.65,2.48,5.002
2026-03-27,021674,未知品种,1,7,正常,-26.01,45.53,1.56,1.5546
2026-03-27,014662,未知品种,1,2,正常,-20.16,34.72,0.24,2.2205
2026-03-27,004433,未知品种,1,7,正常,-22.53,54.0,2.78,1.8791
2026-03-27,020398,未知品种,1,24,🚩高风险(陷阱),-20.33,61.01,5.0,1.6233
2026-03-27,012729,未知品种,1,6,正常,-22.43,35.79,0.59,1.3705
2026-03-27,010214,未知品种,1,2,正常,-20.37,30.02,-1.01,0.9095
2026-03-27,014143,未知品种,3,2,✅高胜率区,-20.38,28.89,-0.75,8.1234
2026-03-27,018168,未知品种,1,7,正常,-22.79,53.72,2.81,1.8544
2026-03-27,002207,未知品种,1,11,正常,-29.56,42.07,1.77,2.793
2026-03-27,008182,未知品种,1,13,正常,-28.23,48.43,1.36,0.8767
2026-03-27,014243,未知品种,1,7,正常,-20.68,45.36,0.9,1.8991
2026-03-26,006328,未知品种,3,24,✅高胜率区,-29.47,26.48,-0.93,0.9182
2026-03-27,020635,未知品种,1,20,🚩高风险(陷阱),-21.18,57.91,3.93,1.5819
