date,fund_code,名称,评分,持续天数,风险预警,回撤%,RSI,BIAS,price
2026-03-16,021031,未知品种,1,17,正常,-25.19,49.05,0.42,1.663
2026-03-16,002207,未知品种,5,2,🔥极高胜率(背离),-23.68,9.4,-5.97,3.026
2026-03-16,018558,未知品种,1,11,正常,-22.46,46.03,0.06,1.1781
2026-03-16,019599,未知品种,1,11,正常,-22.48,46.29,0.07,1.1082
2026-03-16,008182,未知品种,1,4,正常,-25.15,30.97,-3.58,0.9144
2026-03-16,013466,未知品种,1,3,正常,-20.78,38.37,-0.7,1.1617
2026-03-16,020635,未知品种,1,11,正常,-22.17,45.05,0.05,1.5621
2026-03-16,020398,未知品种,1,15,正常,-23.49,52.31,0.71,1.5588
2026-03-13,006328,未知品种,1,15,🚩高风险(陷阱),-25.29,77.83,0.28,0.9727
