date,fund_code,名称,评分,持续天数,风险预警,回撤%,RSI,BIAS,price
2026-03-05,021031,未知品种,3,10,✅高胜率区,-28.15,20.76,-2.19,1.5973
2026-03-05,018558,未知品种,3,4,✅高胜率区,-24.48,16.21,-3.25,1.1474
2026-03-05,012429,未知品种,3,3,✅高胜率区,-21.72,11.05,-2.34,1.0515
2026-03-05,019599,未知品种,3,4,✅高胜率区,-24.55,15.7,-3.25,1.0787
2026-03-05,008182,未知品种,3,3,✅高胜率区,-21.26,8.68,-4.18,0.9619
2026-03-05,020635,未知品种,3,4,✅高胜率区,-24.01,18.45,-3.06,1.5251
2026-03-05,020398,未知品种,3,8,✅高胜率区,-27.76,21.12,-2.17,1.4719
2026-03-04,006328,未知品种,3,8,✅高胜率区,-27.71,3.66,-3.55,0.9411
