代码,代码,名称,类型,成立日期,基金经理,公司名称,基金简称,基金类型,发行时间,估值日期,估值涨幅,累计净值,单位净值,申购净值,申购报价,净值日期,申购状态,赎回状态,费率,申购步长
012094,012094,鹏华创新升级混合C,未知,未知,未知,未知,鹏华创新升级混合C,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
006733,006733,博时创业板ETF联接C,未知,未知,未知,未知,博时创业板ETF联接C,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
019923,019923,华泰柏瑞中证2000指数增强A,未知,未知,未知,未知,华泰柏瑞中证2000指数增强A,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.15,10
015997,015997,大成中证电池主题指数发起A,未知,未知,未知,未知,大成中证电池主题指数发起A,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.15,10
005825,005825,申万菱信智能驱动股票A,未知,未知,未知,未知,申万菱信智能驱动股票A,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.15,10
015084,015084,易方达优势驱动一年持有混合(FOF)C,未知,未知,未知,未知,易方达优势驱动一年持有混合,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
005851,005851,财通新视野灵活配置混合A,未知,未知,未知,未知,财通新视野灵活配置混合A,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.15,10
012188,012188,华安优势龙头混合A,未知,未知,未知,未知,华安优势龙头混合A,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.15,10
016007,016007,招商中证消费电子主题ETF联接A,未知,未知,未知,未知,招商中证消费电子主题ETF联接A,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.12,10
019924,019924,华泰柏瑞中证2000指数增强C,未知,未知,未知,未知,华泰柏瑞中证2000指数增强C,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
006905,006905,泰康产业升级混合C,未知,未知,未知,未知,泰康产业升级混合C,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
015088,015088,易方达优势先锋一年持有混合(FOF)C,未知,未知,未知,未知,易方达优势先锋一年持有混合,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
005903,005903,宏利绩优混合A,未知,未知,未知,未知,宏利绩优混合A,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.15,10
012189,012189,华安优势龙头混合C,未知,未知,未知,未知,华安优势龙头混合C,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
019925,019925,华宝竞争优势混合C,未知,未知,未知,未知,华宝竞争优势混合C,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
016008,016008,招商中证消费电子主题ETF联接C,未知,未知,未知,未知,招商中证消费电子主题ETF联接C,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
006910,006910,华夏战略新兴成指ETF联接C,未知,未知,未知,未知,华夏战略新兴成指ETF联接C,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
016013,016013,南方碳中和股票发起A,未知,未知,未知,未知,南方碳中和股票发起A,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.15,10
015091,015091,易方达优势长兴三个月持有混合(FOF)C,未知,未知,未知,未知,易方达优势长兴三个月持有混合,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
012198,012198,国金核心资产一年持有A,未知,未知,未知,未知,国金核心资产一年持有A,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.15,10
005914,005914,景顺长城智能生活混合A,未知,未知,未知,未知,景顺长城智能生活混合A,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.15,10
020001,020001,国泰金鹰增长混合,未知,未知,未知,未知,国泰金鹰增长混合,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.15,10
006938,006938,鹏华中证500指数(LOF)C,未知,未知,未知,未知,鹏华中证500指数,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
